signal,width,TC,T0,T1,TX,Power_W,Energy_J,VDD_V,Ceff_F
tb.dut_aes.unit_decryption.add_round_key.i_expanded_key[127:0],128,1762724,0,0,0,5.07664512e-06,5.0766451200000004e-09,1.2,2e-15
tb.dut_aes.unit_decryption.round_expanded_key[127:0],128,1762724,0,0,0,5.07664512e-06,5.0766451200000004e-09,1.2,2e-15
tb.dut_aes.unit_decryption.add_round_key.state_out[127:0],128,1743756,0,0,0,5.02201728e-06,5.02201728e-09,1.2,2e-15
tb.dut_aes.unit_decryption.round_key_state_out[127:0],128,1743756,0,0,0,5.02201728e-06,5.02201728e-09,1.2,2e-15
tb.dut_aes.unit_decryption.add_round_key.o_state_out[127:0],128,1743756,0,0,0,5.02201728e-06,5.02201728e-09,1.2,2e-15
tb.dut_aes.unit_decryption.add_round_key.i_state_in[127:0],128,1653802,0,0,0,4.76294976e-06,4.76294976e-09,1.2,2e-15
tb.dut_aes.unit_decryption.round_key_state_in[127:0],128,1653802,0,0,0,4.76294976e-06,4.76294976e-09,1.2,2e-15
tb.dut_aes.unit_decryption.row_state_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.row_state_out[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.sbox.i_inv_byte_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.shift_rows.i_inv_row_state_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.shift_rows.o_inv_row_state_out[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.byte_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.sbox.o_inv_byte_out[127:0],128,1497456,0,0,0,4.31267328e-06,4.31267328e-09,1.2,2e-15
tb.dut_aes.unit_decryption.byte_out[127:0],128,1497456,0,0,0,4.31267328e-06,4.31267328e-09,1.2,2e-15
tb.dut_aes.unit_decryption.column_state_in[127:0],128,1393186,0,0,0,4.012375680000001e-06,4.012375680000001e-09,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.i_inv_column_state_in[127:0],128,1393186,0,0,0,4.012375680000001e-06,4.012375680000001e-09,1.2,2e-15
tb.dut_aes.unit_decryption.column_state_out[127:0],128,1350574,0,0,0,3.88965312e-06,3.88965312e-09,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.o_inv_column_state_out[127:0],128,1350574,0,0,0,3.88965312e-06,3.88965312e-09,1.2,2e-15
tb.dut_aes.unit_decryption.i_clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.dut_aes.unit_encryption.i_clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.dut_aes.i_clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
